wins,attend
0.414,1609076
0.389,2427535
0.444,2863837
0.377,2329702
0.531,3432917
0.599,1811986
0.488,1945677
0.531,2399786
0.432,2128765
0.531,2373631
0.395,1907163
0.586,3062699
0.488,2284163
0.481,1747919
0.401,1766242
0.568,2665080
0.457,2521076
0.401,1797891
0.599,3240386
0.586,3761655
0.537,1464109
0.494,3037451
0.432,3168571
0.636,3719358
0.463,1408783
0.574,3600693
0.463,1919603
0.543,2862110
0.525,2195533
0.562,3343252
0.519,1874962
0.537,2156016
0.463,1876129
0.364,1817226
0.401,2056697
0.562,2510119
0.407,1733019
0.549,3046445
0.463,3062973
0.543,2194378
0.562,2060550
0.426,1391644
0.512,2875245
0.5,2461237
0.469,2331490
0.414,1615327
0.494,3250814
0.494,3562320
0.494,1524894
0.475,2776531
0.58,3223640
0.488,2559738
0.586,3765807
0.5,1418391
0.599,3777322
0.352,1613399
0.556,2131774
0.568,3037443
0.377,2085630
0.531,3301218
0.593,1864999
0.556,2505171
0.525,1495482
0.426,1828066
0.58,2105432
0.549,2372940
0.426,1755461
0.556,3054001
0.438,3017966
0.488,2001117
0.488,2213588
0.494,1840835
0.451,2909777
0.586,2642045
0.346,2067016
0.438,1724450
0.531,3166321
0.444,1520562
0.593,3071373
0.389,3168116
0.475,2352596
0.599,3653680
0.457,1476791
0.63,3680718
0.444,1940429
0.438,2143018
0.531,3387303
0.414,1896321
0.556,3093954
0.562,1529188
0.593,2946949
0.5,1818103
0.5,2177617
0.58,2420171
0.574,2102240
0.426,3043003
0.377,2882756
0.525,1965955
0.599,2347251
0.42,1603596
0.395,2630458
0.543,3028033
0.34,1607733
0.444,1739859
0.549,3061770
0.531,3324246
0.426,2219444
0.512,2831385
0.407,2776354
0.457,2242803
0.586,3542406
0.58,1679013
0.5,3565718
0.488,2091918
0.469,2123721
0.58,3377371
0.463,1721920
0.543,3262109
0.556,1559681
0.574,3460280
0.451,2099663
0.605,2370794
0.5,2134895
0.593,2548679
0.525,2357561
0.599,2833333
0.407,2642682
0.389,1768413
0.556,2492101
0.568,1572926
0.457,2793828
0.574,3083397
0.315,1651883
0.531,1750754
0.481,3019505
0.568,3743527
0.383,1586322
0.457,2531105
0.407,2477644
0.457,2135657
0.525,3279589
0.593,1809302
0.451,3012403
0.58,2256862
0.469,2166691
0.469,3369106
0.438,1761546
0.599,3369769
0.457,2536562
0.531,2652422
0.395,2073730
0.488,2354305
0.593,2464473
0.438,2956089
0.451,2652113
0.451,1650821
0.469,2476664
0.525,1437393
0.407,2680329
0.556,2917209
0.432,1751829
0.549,1956482
0.605,3095935
0.58,3782337
0.475,1732283
0.506,2797384
0.432,2250606
0.488,2148808
0.519,3401624
0.543,2003628
0.451,2423852
0.543,2442564
0.475,2195373
0.543,3368697
0.537,2064334
0.556,3540649
0.475,1446464
0.414,2718733
0.512,2375525
0.593,2579389
0.488,2080145
0.414,2001392
0.5,2281202
0.481,2880694
0.599,2919122
0.469,1755810
0.395,2419506
0.42,2506789
0.531,2153585
0.586,2708549
0.525,3012765
0.568,3764815
0.438,1752235
0.42,2542558
0.512,2220054
0.556,2569753
0.537,3193795
0.42,1768175
0.389,1831080
0.605,2498596
0.457,2459752
0.519,3375882
0.469,2193581
0.617,3520889
0.494,1287054
0.543,2491875
0.574,2794891
0.512,2619843
0.426,2036216
0.549,2172344
0.574,2955434
0.64,3232420
0.481,1746293
0.42,1894085
0.463,2602524
0.519,2306623
0.5,2557712
0.457,3016142
0.562,3703312
0.451,2314614
0.364,1963912
0.537,2789602
0.519,3063405
0.426,1521506
0.438,1915144
0.484,2249201
0.42,2351422
0.537,3365256
0.531,2267928
0.531,3444490
0.42,1286163
0.586,2710402
0.549,3392099
0.586,2481938
0.549,2022450
0.519,1785293
0.571,2278217
0.564,3249287
0.451,1139026
0.364,836204
0.472,1198175
0.58,1613031
0.586,1978896
0.488,1963875
0.562,3510313
0.556,2128339
0.5,1539815
0.475,1363469
0.506,2320651
0.463,734079
0.549,2110009
0.5,1786633
0.525,1669888
0.519,1471805
0.531,2455477
0.475,2089034
0.5,1478659
0.414,1861985
0.519,2653763
0.58,1641437
0.543,3646950
0.556,2889020
0.552,2623194
0.494,1391146
0.426,1560950
0.546,1925364
0.512,3195691
0.543,2454303
0.589,2061222
0.595,2725668
0.525,2577371
0.451,1573621
0.438,2454523
0.623,3465600
0.451,1943067
0.549,2804760
0.552,2376250
0.546,2790074
0.546,2500648
0.54,2302431
0.528,2567165
0.534,2416237
0.564,1510300
0.558,3178273
0.457,1374141
0.531,3080980
