"oteam_name","year","lg","w","l","t","w_l","playoffs","att","cteam_name","team","venue","address","city","lat","lng"
"Milwaukee Braves",1958,"NL",92,62,0,"0.597","Lost WS (4-3)","1971101","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1959,"NL",86,70,1,"0.551",NULL,"1749112","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1960,"NL",88,66,0,"0.571",NULL,"1497799","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1961,"NL",83,71,1,"0.539",NULL,"1101441","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1962,"NL",86,76,0,"0.531",NULL,"766921","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1963,"NL",84,78,1,"0.519",NULL,"773018","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1964,"NL",88,74,0,"0.543",NULL,"910911","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1965,"NL",86,76,0,"0.531",NULL,"555584","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1966,"NL",85,77,1,"0.525",NULL,"1539801","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1967,"NL",77,85,0,"0.475",NULL,"1389222","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1968,"NL",81,81,1,"0.5",NULL,"1126540","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1969,"NL West",93,69,0,"0.574","Lost NLCS (3-0)","1458320","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1970,"NL West",76,86,0,"0.469",NULL,"1078848","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1971,"NL West",82,80,0,"0.506",NULL,"1006320","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1972,"NL West",70,84,1,"0.455",NULL,"752973","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1973,"NL West",76,85,1,"0.472",NULL,"800655","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1974,"NL West",88,74,1,"0.543",NULL,"981085","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1975,"NL West",67,94,0,"0.416",NULL,"534672","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1976,"NL West",70,92,0,"0.432",NULL,"818179","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1977,"NL West",61,101,0,"0.377",NULL,"872464","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1978,"NL West",69,93,0,"0.426",NULL,"904494","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1979,"NL West",66,94,0,"0.413",NULL,"769465","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1980,"NL West",81,80,0,"0.503",NULL,"1048411","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1981,"NL West",50,56,1,"0.472",NULL,"535418","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1982,"NL West",89,73,0,"0.549","Lost NLCS (3-0)","1801985","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1983,"NL West",88,74,0,"0.543",NULL,"2119935","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Atlanta Braves",1984,"NL West",80,82,0,"0.494",NULL,"1724892","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
